,CustomerID,frequency,recency,T,monetary_value,expected_purc_6_months,6_Months_CLV,Segment
0,12747.0,10.0,367.0,369.0,375.725,4.632775153198925,1712.3816332153456,Champions
1,12748.0,112.0,373.0,373.0,257.3149107142857,42.44440054813943,10566.853326835302,Champions
2,12749.0,3.0,210.0,213.0,999.1066666666666,2.979964856206225,3054.158127814572,Champions
3,12820.0,3.0,323.0,326.0,256.5733333333333,2.2112925140898136,584.1004070270995,Need Attention
4,12823.0,4.0,222.0,296.0,252.45,2.8149532623893028,719.8422202349975,Need Attention
5,12826.0,6.0,363.0,365.0,221.9933333333333,3.1624212150146462,700.0354020653169,Need Attention
6,12827.0,2.0,39.0,44.0,106.2,5.053418969498814,577.0200120695629,Need Attention
7,12828.0,5.0,128.0,130.0,156.796,5.488846128562587,864.9482563489252,Need Attention
8,12830.0,4.0,134.0,171.0,251.28000000000003,4.057978367651681,1032.9180192701465,Loyal Customers
9,12836.0,3.0,252.0,311.0,541.0233333333334,2.2896932673320904,1272.093930408682,Loyal Customers
10,12839.0,13.0,365.0,367.0,395.7546153846154,5.779288143189741,2240.4038320829877,Champions
11,12840.0,3.0,83.0,226.0,624.2333333333332,2.8653762023292373,1836.2066801210722,Champions
12,12841.0,23.0,367.0,371.0,156.80565217391305,9.45756452251369,1444.7141843688516,Loyal Customers
13,12843.0,7.0,199.0,264.0,224.27428571428567,4.490360398602084,999.5705673048519,Loyal Customers
14,12845.0,3.0,23.0,290.0,44.13333333333333,2.4092818399566345,112.01151132236708,Hibernating
15,12853.0,2.0,181.0,315.0,688.6500000000001,1.8467761332822517,1347.410902365662,Loyal Customers
16,12854.0,2.0,240.0,318.0,430.12,1.8338938913436256,837.0596860198757,Need Attention
17,12856.0,5.0,56.0,63.0,350.428,7.589391520174772,2665.8801777562185,Champions
18,12867.0,6.0,334.0,360.0,605.3916666666667,3.195916127391519,1925.850043947484,Champions
19,12868.0,5.0,188.0,373.0,279.478,2.7391888717237807,767.783737616264,Need Attention
20,12877.0,11.0,355.0,358.0,127.15636363636364,5.124102272087804,641.036369220538,Need Attention
21,12879.0,2.0,47.0,91.0,147.0,3.883846864781858,610.9035777892229,Need Attention
22,12891.0,2.0,107.0,292.0,15.12,1.951894900266744,35.034202325790936,Hibernating
23,12901.0,22.0,262.0,270.0,155.07545454545453,11.486522974606192,1735.987875274843,Champions
24,12909.0,3.0,214.0,253.0,306.5133333333333,2.6534603299596204,836.6618606926338,Need Attention
25,12910.0,5.0,218.0,241.0,453.25200000000007,3.763257622878088,1708.9483786448407,Champions
26,12912.0,4.0,38.0,40.0,299.61,7.553593393964677,2291.1245427835497,Champions
27,12913.0,4.0,364.0,368.0,424.8425,2.392776115181364,1028.1842136092569,Loyal Customers
28,12916.0,3.0,182.0,320.0,638.9466666666667,2.2419995889720554,1470.5276350883182,Loyal Customers
29,12919.0,5.0,161.0,169.0,214.49,4.727251872420241,1017.737294852368,Loyal Customers
30,12921.0,22.0,364.0,373.0,727.4531818181819,9.047493530594007,6408.768078675423,Champions
31,12924.0,3.0,239.0,327.0,236.22000000000003,2.2062562601045426,536.7636051047757,Hibernating
32,12928.0,4.0,324.0,359.0,391.28,2.4384906859634095,965.2311779787522,Loyal Customers
33,12931.0,11.0,336.0,357.0,445.0290909090909,5.135026119660387,2244.042110731041,Champions
34,12933.0,2.0,259.0,283.0,247.37,1.9963600279574198,525.7304753692375,Hibernating
35,12935.0,5.0,317.0,319.0,340.474,3.0823223103843516,1052.0197064037502,Loyal Customers
36,12936.0,2.0,61.0,78.0,127.635,4.1494790962622625,567.7829219641898,Need Attention
37,12937.0,3.0,252.0,267.0,419.85,2.5554626821926307,1102.4965218876791,Loyal Customers
